id,question
1,"Who is the CEO of Gilead Sciences?"
2,"Who is the CEO of Google?"
3,"Who is the CEO of Apple?"
4,"Who is the CEO of Microsoft?"
5,"Who is the CEO of ICICI?"
6,"Who is the CEO of Allstate?"
7,"Who is the CEO of TIAA?"
8,"Who is the CEO of INTL FCStone?"
9,"Who is the CEO of CHS?"
10,"Who is the CEO of American Express?"
11,"Who is the CEO of SpaceX?"
12,"Who is the CEO of Telsa Motors?"
13,"Who is the CEO of Walmart?"
14,"Who is the CEO of Toyota?"
15,"Who is the CEO of Amazon?"
16,"Who is the CEO of HP?"
17,"Who is the CEO of Verizon?"
18,"Who is the CEO of Costco?"
19,"Who is the CEO of AT&T?"
20,"Who is the CEO of General Motors?"
21,"Who is the CEO of Samsung?"
22,"Who is the CEO of Volkswagen?"
23,"Who is the CEO of General Electric?"
24,"Who is the CEO of Ford Motor?"
25,"Who is the CEO of Walgreens?"
26,"Who is the CEO of Linkedin?"
27,"Who is the CEO of Snapchat?"
28,"Who is the CEO of JPMorgan Chase & Co.?"
29,"Who is the CEO of United Continental Holdings?"
30,"Who is the CEO of Alphabet?"
31,"Who is the CEO of Tesoro?"
32,"Who is the CEO of Exxon Mobil?"
33,"Who is the CEO of Northwestern Mutual?"
34,"Who is the CEO of Berkshire Hathaway?"
35,"Who is the CEO of McKesson?"
36,"Who is the CEO of UnitedHealth Group?"
37,"Who is the CEO of CVS Health?"
38,"Who is the CEO of World Fuel Services?"
39,"Who is the CEO of 3M?"
40,"Who is the CEO of Mondelez International?"
41,"Who is the CEO of Exelon?"
42,"Who is the CEO of AmerisourceBergen?"
43,"Who is the CEO of Nike?"
44,"Who is the CEO of Chevron?"
45,"Who is the CEO of ConocoPhillips?"
46,"Who is the CEO of Fannie Mae?"
47,"Who is the CEO of Kroger?"
48,"Who is the CEO of Deere?"
49,"Who is the CEO of General Dynamics?"
50,"Who is the CEO of Twenty-First Century Fox?"
51,"Who is the CEO of Cardinal Health?"
52,"Who is the CEO of Express Scripts Holding?"
53,"Who is the CEO of Publix Super Markets?"
54,"Who is the CEO of Boeing?"
55,"Who is the CEO of Time Warner?"
56,"Who is the CEO of Bank of America Corp.?"
57,"Who is the CEO of Wells Fargo?"
58,"Who is the CEO of Home Depot?"
59,"Who is the CEO of Citigroup?"
60,"Who is the CEO of Phillips 66?"
61,"Who is the CEO of IBM?"
62,"Who is the CEO of Valero Energy?"
63,"Who is the CEO of Anthem?"
64,"Who is the CEO of Procter & Gamble?"
65,"Who is the CEO of State Farm Insurance Cos.?"
66,"Who is the CEO of TJX?"
67,"Who is the CEO of Comcast?"
68,"Who is the CEO of Target?"
69,"Who is the CEO of Johnson & Johnson?"
70,"Who is the CEO of MetLife?"
71,"Who is the CEO of Archer Daniels Midland?"
72,"Who is the CEO of Marathon Petroleum?"
73,"Who is the CEO of Freddie Mac?"
74,"Who is the CEO of PepsiCo?"
75,"Who is the CEO of United Technologies?"
76,"Who is the CEO of Aetna?"
77,"Who is the CEO of Lowe’s?"
78,"Who is the CEO of UPS?"
79,"Who is the CEO of AIG?"
80,"Who is the CEO of Prudential Financial?"
81,"Who is the CEO of Intel?"
82,"Who is the CEO of Humana?"
83,"Who is the CEO of Disney?"
84,"Who is the CEO of Cisco Systems?"
85,"Who is the CEO of Pfizer?"
86,"Who is the CEO of Dow Chemical?"
87,"Who is the CEO of Sysco?"
88,"Who is the CEO of FedEx?"
89,"Who is the CEO of Caterpillar?"
90,"Who is the CEO of Lockheed Martin?"
91,"Who is the CEO of New York Life Insurance?"
92,"Who is the CEO of Coca-Cola?"
93,"Who is the CEO of HCA Holdings?"
94,"Who is the CEO of Ingram Micro?"
95,"Who is the CEO of Energy Transfer Equity?"
96,"Who is the CEO of Tyson Foods?"
97,"Who is the CEO of American Airlines Group?"
98,"Who is the CEO of Delta Air Lines?"
99,"Who is the CEO of Nationwide?"
100,"Who is the CEO of Johnson Controls?"
101,"Who is the CEO of Best Buy?"
102,"Who is the CEO of Merck?"
103,"Who is the CEO of Liberty Mutual Insurance Group?"
104,"Who is the CEO of Goldman Sachs Group?"
105,"Who is the CEO of Honeywell International?"
106,"Who is the CEO of Massachusetts Mutual Life Insurance?"
107,"Who is the CEO of Oracle?"
108,"Who is the CEO of Morgan Stanley?"
109,"Who is the CEO of Cigna?"
